nu,mu_meV,E_meV
2.317944862155388586e-01,9.853511095058614444e+00,2.716762067279587356e+00
2.324511278195488806e-01,9.845583791553981001e+00,2.723229689911532692e+00
2.331077694235589026e-01,9.837667676920705873e+00,2.729692110819728512e+00
2.337644110275689247e-01,9.829762703915021049e+00,2.736149337335742171e+00
2.344210526315789467e-01,9.821868825624694210e+00,2.742601376760227527e+00
2.350776942355889687e-01,9.813985995465781542e+00,2.749048236363142106e+00
2.357343358395989907e-01,9.806114167179419638e+00,2.755489923383960260e+00
2.363909774436090128e-01,9.798253294828661808e+00,2.761926445031887667e+00
2.370476190476190348e-01,9.790403332795342806e+00,2.768357808486070049e+00
2.377042606516290846e-01,9.782564235776998629e+00,2.774784020895801895e+00
2.383609022556391066e-01,9.774735958783814738e+00,2.781205089380732964e+00
2.390175438596491286e-01,9.766918457135604470e+00,2.787621021031072566e+00
2.396741854636591507e-01,9.759111686458847856e+00,2.794031822907791618e+00
2.403308270676691727e-01,9.751315602683742867e+00,2.800437502042823379e+00
2.409874686716791947e-01,9.743530162041306397e+00,2.806838065439261953e+00
2.416441102756892167e-01,9.735755321060509004e+00,2.813233520071558580e+00
2.423007518796992388e-01,9.727991036565438066e+00,2.819623872885716587e+00
2.429573934837092608e-01,9.720237265672507121e+00,2.826009130799483682e+00
2.436140350877193106e-01,9.712493965787684758e+00,2.832389300702544688e+00
2.442706766917293326e-01,9.704761094603773230e+00,2.838764389456708059e+00
2.449273182957393546e-01,9.697038610097704847e+00,2.845134403896096398e+00
2.455839598997493767e-01,9.689326470527880986e+00,2.851499350827329415e+00
2.462406015037593987e-01,9.681624634431539533e+00,2.857859237029709565e+00
2.468972431077694207e-01,9.673933060622150748e+00,2.864214069255403672e+00
2.475538847117794428e-01,9.666251708186853975e+00,2.870563854229624123e+00
2.482105263157894648e-01,9.658580536483912127e+00,2.876908598650806947e+00
2.488671679197994868e-01,9.650919505140207022e+00,2.883248309190788561e+00
2.495238095238095366e-01,9.643268574048759589e+00,2.889582992494983849e+00
2.501804511278195586e-01,9.635627703366280272e+00,2.895912655182556250e+00
2.508370927318295807e-01,9.627996853510744302e+00,2.902237303846593619e+00
2.514937343358396027e-01,9.620375985159007826e+00,2.908556945054276976e+00
2.521503759398496247e-01,9.612765059244434696e+00,2.914871585347051042e+00
2.528070175438596467e-01,9.605164036954569440e+00,2.921181231240790321e+00
